Record ID,Function,Family,Job Code,Job,PC,Level,Base Salary-Average,Base Salary-#Orgs,Base Salary-#Cases,Base Salary-10th,Base Salary-25th,Base Salary-Median,Base Salary-75th,Base Salary-90th,Total Guaranteed Compensation-Average,Total Guaranteed Compensation-#Orgs,Total Guaranteed Compensation-#Cases,Total Guaranteed Compensation-10th,Total Guaranteed Compensation-25th,Total Guaranteed Compensation-Median,Total Guaranteed Compensation-75th,Total Guaranteed Compensation-90th,Actual Total Compensation-Average,Actual Total Compensation-#Orgs,Actual Total Compensation-#Cases,Actual Total Compensation-10th,Actual Total Compensation-25th,Actual Total Compensation-Median,Actual Total Compensation-75th,Actual Total Compensation-90th,country
1,Actual Data,Administrative Affairs,AFS.01.001,Department Assistant,44,Unskilled Worker,57359,3,133,,,,,,57690,3,133,,,,,,59017,3,133,,,,,,
2,Actual Data,Administrative Affairs,AFS.01.001,Department Assistant,47,Team Member,72524,3,13,,,,,,72780,3,13,,,,,,77443,3,13,,,,,,
3,Actual Data,Administrative Affairs,AFS.01.020,Senior Executive Assistant,46,Team Member,94177,9,84,,77966,93275,112908,,94177,9,84,,77966,93275,112908,,98541,9,84,,82054,96365,117814,,
4,Actual Data,Administrative Affairs,AFS.01.020,Senior Executive Assistant,47,Team Member,71948,3,5,,,,,,72976,3,5,,,,,,75048,3,5,,,,,,
5,Actual Data,Administrative Affairs,AFS.01.020,Senior Executive Assistant,48,Team Member,137034,3,31,,,,,,137974,3,31,,,,,,148017,3,31,,,,,,
6,Actual Data,Administrative Affairs,AFS.01.021,General Manager Assistant,48,Team Member,150427,5,8,,134375,152502,165442,,151719,5,8,,137605,152502,165442,,159966,5,8,,144622,157844,176370,,
7,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,44,Unskilled Worker,43064,5,344,,40456,41368,46520,,44418,5,344,,42230,44588,46520,,46291,5,344,,42971,46517,49498,,
8,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,45,Team Member,44890,6,27,,40434,44127,49308,,45643,6,27,,40793,44800,51326,,47477,6,27,,40933,48231,53212,,
9,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,46,Team Member,67449,8,46,,54383,59224,75793,,67873,8,46,,54383,59248,75793,,72212,8,46,,59806,60951,79233,,
10,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,47,Team Member,66402,8,26,,63391,68333,73500,,67803,8,26,,63391,68333,74660,,71616,8,26,,65489,71090,80707,,
11,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,48,Team Member,98366,4,8,,,87334,,,98366,4,8,,,87334,,,101644,4,8,,,90841,,,
12,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,49,Team Member,99940,9,26,,89404,101646,111119,,100748,9,26,,89404,101646,113136,,107993,9,26,,93024,109069,119913,,
