Record ID,Function,Family,Job Code,Job,PC,Level,Base Salary-Average,Base Salary-#Orgs,Base Salary-#Cases,Base Salary-10th,Base Salary-25th,Base Salary-Median,Base Salary-75th,Base Salary-90th,Total Guaranteed Compensation-Average,Total Guaranteed Compensation-#Orgs,Total Guaranteed Compensation-#Cases,Total Guaranteed Compensation-10th,Total Guaranteed Compensation-25th,Total Guaranteed Compensation-Median,Total Guaranteed Compensation-75th,Total Guaranteed Compensation-90th,Actual Total Compensation-Average,Actual Total Compensation-#Orgs,Actual Total Compensation-#Cases,Actual Total Compensation-10th,Actual Total Compensation-25th,Actual Total Compensation-Median,Actual Total Compensation-75th,Actual Total Compensation-90th,country
1,Actual Data,Administrative Affairs,AFS.01.001,Department Assistant,44,Unskilled Worker,40000,5,100,32000.0,36000.0,40000.0,44000.0,48000.0,45000,5,100,36000.0,40500.0,45000.0,49500.0,54000.0,50000,5,100,40000.0,45000.0,50000.0,55000.0,60000.0,Poland
2,Actual Data,Administrative Affairs,AFS.01.001,Department Assistant,47,Team Member,57600,7,144,46080.0,51840.0,57600.0,63360.0,69120.0,64800,7,144,51840.0,58320.0,64800.0,71280.0,77760.0,72000,7,144,57600.0,64800.0,72000.0,79200.0,86400.0,Switzerland
3,Actual Data,Administrative Affairs,AFS.01.020,Senior Executive Assistant,46,Team Member,48000,6,120,38400.0,43200.0,48000.0,52800.0,57600.0,54000,6,120,43200.0,48600.0,54000.0,59400.0,64800.0,60000,6,120,48000.0,54000.0,60000.0,66000.0,72000.0,Germany
4,Actual Data,Administrative Affairs,AFS.01.020,Senior Executive Assistant,47,Team Member,57600,7,144,46080.0,51840.0,57600.0,63360.0,69120.0,64800,7,144,51840.0,58320.0,64800.0,71280.0,77760.0,72000,7,144,57600.0,64800.0,72000.0,79200.0,86400.0,Switzerland
5,Actual Data,Administrative Affairs,AFS.01.020,Senior Executive Assistant,48,Team Member,57600,7,144,46080.0,51840.0,57600.0,63360.0,69120.0,64800,7,144,51840.0,58320.0,64800.0,71280.0,77760.0,72000,7,144,57600.0,64800.0,72000.0,79200.0,86400.0,Switzerland
6,Actual Data,Administrative Affairs,AFS.01.021,General Manager Assistant,48,Team Member,57600,7,144,46080.0,51840.0,57600.0,63360.0,69120.0,64800,7,144,51840.0,58320.0,64800.0,71280.0,77760.0,72000,7,144,57600.0,64800.0,72000.0,79200.0,86400.0,Switzerland
7,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,44,Unskilled Worker,57600,7,144,46080.0,51840.0,57600.0,63360.0,69120.0,64800,7,144,51840.0,58320.0,64800.0,71280.0,77760.0,72000,7,144,57600.0,64800.0,72000.0,79200.0,86400.0,Switzerland
8,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,45,Team Member,40000,5,100,32000.0,36000.0,40000.0,44000.0,48000.0,45000,5,100,36000.0,40500.0,45000.0,49500.0,54000.0,50000,5,100,40000.0,45000.0,50000.0,55000.0,60000.0,Poland
9,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,46,Team Member,57600,7,144,46080.0,51840.0,57600.0,63360.0,69120.0,64800,7,144,51840.0,58320.0,64800.0,71280.0,77760.0,72000,7,144,57600.0,64800.0,72000.0,79200.0,86400.0,Switzerland
10,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,47,Team Member,48000,6,120,38400.0,43200.0,48000.0,52800.0,57600.0,54000,6,120,43200.0,48600.0,54000.0,59400.0,64800.0,60000,6,120,48000.0,54000.0,60000.0,66000.0,72000.0,Germany
11,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,48,Team Member,48000,6,120,38400.0,43200.0,48000.0,52800.0,57600.0,54000,6,120,43200.0,48600.0,54000.0,59400.0,64800.0,60000,6,120,48000.0,54000.0,60000.0,66000.0,72000.0,Germany
12,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,49,Team Member,48000,6,120,38400.0,43200.0,48000.0,52800.0,57600.0,54000,6,120,43200.0,48600.0,54000.0,59400.0,64800.0,60000,6,120,48000.0,54000.0,60000.0,66000.0,72000.0,Germany
